Time,xOut,yOut,zOut
30114.0,336.0,328.0,397.0
30164.0,338.0,331.0,404.0
30214.0,336.0,328.0,396.0
30264.0,337.0,329.0,401.0
30314.0,336.0,329.0,400.0
30364.0,337.0,329.0,399.0
30414.0,337.0,330.0,400.0
30464.0,336.0,330.0,399.0
30514.0,337.0,328.0,401.0
30564.0,337.0,330.0,400.0
30614.0,336.0,329.0,398.0
30664.0,336.0,330.0,399.0
30714.0,336.0,330.0,401.0
30764.0,337.0,330.0,399.0
30814.0,337.0,330.0,398.0
30864.0,336.0,329.0,401.0
30914.0,336.0,329.0,399.0
30964.0,336.0,330.0,401.0
