"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"79","GTDPRO","Jules Gounon","3","1:22.028","8:30.541","Green","Track","24.432","36.194","21.402"
"1","GTD","Madison Snow","6","1:20.167","8:31.318","Green","Track","25.481","35.521","19.165"
"70","GTD","Brendan Iribe","6","1:16.945","8:32.312","Green","Track","22.833","35.259","18.853"
"23","GTDPRO","Alex Riberas","6","1:29.966","8:35.922","Green","Pit","22.499","34.842","32.625"
"91","GTD","Alan Metni","6","1:17.318","8:38.315","Green","Track","22.954","35.326","19.038"
"78","GTD","Misha Goikhberg","6","1:16.456","8:42.735","Green","Track","22.985","34.945","18.526"
"92","GTD","David Brule","6","1:21.055","8:53.325","Green","Track","24.504","36.583","19.968"
"97","GTD","Chandler Hull","6","1:17.110","8:53.381","Green","Track","22.958","35.136","19.016"
"32","GTD","Mikael Grenier","6","1:15.674","8:54.694","Green","Track","22.503","34.854","18.317"
"96","GTD","Patrick Gallagher","6","1:15.992","8:56.168","Green","Track","22.788","34.788","18.416"
"77","GTD","Alan Brynjolfsson","6","1:19.191","8:59.745","Green","Track","23.194","35.786","20.211"
"80","GTD","PJ Hyett","6","1:21.866","9:04.569","Green","Track","24.212","38.596","19.058"
"66","GTD","Sheena Monk","6","1:17.213","9:09.074","Green","Track","23.350","35.081","18.782"
"57","GTD","Russell Ward","6","1:16.477","9:14.079","Green","Track","22.801","35.119","18.557"
"9","GTDPRO","Klaus Bachler","4","1:15.661","9:17.868","Green","Track","22.655","34.708","18.298"
"14","GTDPRO","Jack Hawksworth","5","1:15.159","9:21.056","Green","Track","22.231","34.784","18.144"
"12","GTD","Frankie Montecalvo","6","1:15.581","9:25.059","Green","Track","22.501","34.897","18.183"
"3","GTDPRO","Jordan Taylor","7","1:15.494","9:33.915","Green","Track","22.270","34.978","18.246"
"79","GTDPRO","Jules Gounon","4","1:15.250","9:45.791","Green","Track","22.373","34.772","18.105"
"1","GTD","Madison Snow","7","1:15.650","9:46.968","Green","Track","22.803","34.518","18.329"
"70","GTD","Brendan Iribe","7","1:19.307","9:51.619","Green","Track","24.389","35.920","18.998"
"91","GTD","Alan Metni","7","1:17.126","9:55.441","Green","Track","22.874","35.239","19.013"
"78","GTD","Misha Goikhberg","7","1:16.150","9:58.885","Green","Track","22.693","34.877","18.580"
"97","GTD","Chandler Hull","7","1:16.954","10:10.335","Green","Track","22.958","35.277","18.719"
"32","GTD","Mikael Grenier","7","1:19.317","10:14.011","Green","Track","24.122","36.112","19.083"
"96","GTD","Patrick Gallagher","7","1:20.619","10:16.787","Green","Track","23.843","37.028","19.748"
"92","GTD","David Brule","7","1:25.103","10:18.428","Green","Track","26.980","37.139","20.984"
"77","GTD","Alan Brynjolfsson","7","1:21.558","10:21.303","Green","Track","23.212","35.157","23.189"
"80","GTD","PJ Hyett","7","1:17.294","10:21.863","Green","Track","23.054","35.337","18.903"
"66","GTD","Sheena Monk","7","1:17.344","10:26.418","Green","Track","23.713","34.931","18.700"
"57","GTD","Russell Ward","7","1:16.165","10:30.244","Green","Track","22.631","34.997","18.537"
"9","GTDPRO","Klaus Bachler","5","1:15.584","10:33.452","Green","Track","22.576","34.672","18.336"
"12","GTD","Frankie Montecalvo","7","1:15.936","10:40.995","Green","Track","22.711","34.946","18.279"
"14","GTDPRO","Jack Hawksworth","6","1:26.092","10:47.148","Green","Track","28.656","38.772","18.664"
"3","GTDPRO","Jordan Taylor","8","1:23.862","10:57.777","Green","Track","22.387","39.267","22.208"
"79","GTDPRO","Jules Gounon","5","1:18.786","11:04.577","Green","Track","23.917","36.467","18.402"
"70","GTD","Brendan Iribe","8","1:16.648","11:08.267","Green","Track","22.830","35.359","18.459"
"91","GTD","Alan Metni","8","1:17.784","11:13.225","Green","Track","23.178","35.580","19.026"
"78","GTD","Misha Goikhberg","8","1:16.254","11:15.139","Green","Track","22.854","34.876","18.524"
"1","GTD","Madison Snow","8","1:32.473","11:19.441","Green","Pit","24.603","38.565","29.305"
"97","GTD","Chandler Hull","8","1:16.828","11:27.163","Green","Track","22.956","35.174","18.698"
"32","GTD","Mikael Grenier","8","1:15.825","11:29.836","Green","Track","22.507","35.081","18.237"
"96","GTD","Patrick Gallagher","8","1:16.279","11:33.066","Green","Track","22.923","34.950","18.406"
"77","GTD","Alan Brynjolfsson","8","1:17.816","11:39.119","Green","Track","23.333","35.337","19.146"
"92","GTD","David Brule","8","1:22.003","11:40.431","Green","Track","24.429","36.966","20.608"
"80","GTD","PJ Hyett","8","1:21.158","11:43.021","Green","Track","23.642","38.700","18.816"
"66","GTD","Sheena Monk","8","1:17.327","11:43.745","Green","Track","23.463","34.961","18.903"
"57","GTD","Russell Ward","8","1:21.779","11:52.023","Green","Track","23.175","36.943","21.661"
